,fairness_method,model,precision,recall,auc,stat_par,eq_odds,zero_one_loss,disp_imp,ao,tpr_diff,fpr_diff,acc,hmean
0,dir,logreg,0.697,0.566,0.743,0.185,0.091,0.121,0.283,0.165,0.135,0.097,0.835,0.678
1,reweighing,logreg,0.697,0.565,0.743,0.185,0.091,0.121,0.282,0.165,0.135,0.097,0.835,0.677
2,reweighing,forest,0.594,0.526,0.705,0.198,0.122,0.161,0.293,0.175,0.052,0.149,0.798,0.657
3,dir,forest,0.598,0.525,0.706,0.198,0.12,0.16,0.288,0.176,0.061,0.145,0.799,0.655
4,cal,forest,0.597,0.46,0.68,0.279,0.597,0.144,0.0,0.434,0.523,0.172,0.794,0.0
5,cal,logreg,0.702,0.493,0.713,0.254,0.702,0.096,0.0,0.402,0.567,0.119,0.826,0.0
