,fairness_method,model,precision,recall,auc,stat_par,eq_odds,zero_one_loss,disp_imp,ao,tpr_diff,fpr_diff,acc,hmean
36,prej,forest,0.658,0.442,0.684,0.227,0.176,0.125,0.045,0.372,0.525,0.109,0.809,0.211
37,prej,gradient_class,0.658,0.442,0.684,0.227,0.176,0.125,0.045,0.372,0.525,0.109,0.809,0.211
38,prej,tree,0.658,0.442,0.684,0.227,0.176,0.125,0.045,0.372,0.525,0.109,0.809,0.211
39,prej,logreg,0.658,0.442,0.684,0.227,0.176,0.125,0.045,0.372,0.525,0.109,0.809,0.211
40,cal,tree,0.557,0.473,0.676,0.307,0.557,0.163,0.0,0.478,0.552,0.202,0.781,0.0
41,cal,logreg,0.7,0.494,0.713,0.255,0.7,0.096,0.0,0.394,0.565,0.112,0.826,0.0
42,cal,gradient_class,0.712,0.462,0.701,0.235,0.712,0.099,0.0,0.371,0.531,0.106,0.824,0.0
43,cal,forest,0.599,0.458,0.68,0.277,0.599,0.144,0.0,0.441,0.526,0.177,0.794,0.0
44,adv,tree,0.0,0.0,0.5,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.757,0.0
45,adv,logreg,0.0,0.0,0.5,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.757,0.0
46,adv,gradient_class,0.0,0.0,0.5,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.757,0.0
47,adv,forest,0.0,0.0,0.5,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.757,0.0
