,stat_par,eq_odds,zero_one_loss,disp_imp,acc,hmean,experiment,approach
0,0.011,-0.076,0.062,0.919,0.601,0.828,exp1,MANILA
1,-0.001,-0.019,0.007999999999999993,0.866,0.48,0.769,exp1,MANILA
2,-0.079,0.149,0.017999999999999988,0.614,0.606,0.741,exp1,MANILA
3,-0.113,0.25,0.0059999999999999915,0.517,0.601,0.693,exp1,MANILA
0,-0.177,0.076,0.05299999999999999,0.425,0.436,0.572,exp1,MANILA
1,-0.221,0.159,0.214,0.436,0.343,0.529,exp1,MANILA
2,-0.339,0.619,0.10499999999999998,0.091,0.493,0.237,exp1,MANILA
3,-0.33,0.648,0.10999999999999999,0.096,0.49,0.226,exp1,MANILA
0,-0.144,0.058,0.217,0.497,0.673,0.665,exp1,MANILA
1,-0.19,0.2,0.231,0.385,0.649,0.587,exp1,MANILA
2,-0.281,0.495,0.262,0.184,0.681,0.404,exp1,MANILA
3,-0.299,0.573,0.23500000000000001,0.142,0.68,0.334,exp1,MANILA
0,-0.027,0.009,0.015,0.843,0.695,0.849,exp1,MANILA
1,-0.107,0.19,0.06,0.591,0.695,0.745,exp1,MANILA
2,-0.116,0.206,0.064,0.551,0.695,0.724,exp1,MANILA
3,-0.073,0.141,0.056999999999999995,0.52,0.7,0.691,exp1,MANILA
0,-0.095,0.115,0.18599999999999997,0.745,0.494,0.71,exp1,MANILA
1,-0.19,0.297,0.24799999999999997,0.513,0.461,0.597,exp1,MANILA
2,-0.21,0.389,0.152,0.475,0.504,0.597,exp1,MANILA
3,-0.267,0.646,0.158,0.097,0.52,0.245,exp1,MANILA
0,-0.108,0.187,-0.024000000000000007,0.851,0.515,0.762,exp1,MANILA
1,0.15,-0.327,0.33399999999999996,0.772,0.444,0.623,exp1,MANILA
2,-0.31,0.588,0.037000000000000005,0.547,0.567,0.577,exp1,MANILA
3,-0.326,0.621,0.04899999999999999,0.529,0.561,0.553,exp1,MANILA
0,0.18786188629119235,0.30506637169530776,0.12228331541118938,0.510409726163787,0.5213504320647178,0.6005,exp1,original
1,0.38878320282970724,0.3293788496392863,0.06903717334557231,0.18238285518246072,0.49746231155778897,0.4093,exp1,original
2,0.263526968591314,0.3077906101899542,0.14218682208325684,0.3431693061947885,0.6801305865135652,0.5417500000000001,exp1,original
3,0.2598461097076379,0.3102890662193403,0.07160267210101773,0.44096874232527083,0.5210253784571958,0.6098,exp1,original
4,0.22077666983699457,0.20660090266014683,0.08358457844793679,0.47278954249612654,0.503234624343775,0.64305,exp1,original
5,0.34234738529905934,1.067076180587761,0.04296009996470747,0.5436695854069025,0.5599270664505672,0.60685,exp1,original
6,0.13304687529698234,0.2749178267427661,0.10548203637529592,0.5689426794468706,0.5181225996404568,0.6466833333333334,exp1,original
7,0.30779537954665537,0.31525337285780286,0.06457592880089932,0.29980618300105566,0.48049823283082077,0.51088,exp1,original
8,0.17740713774295824,0.24806316731309733,0.1313850918319749,0.48785024094544993,0.6794399883672934,0.65046,exp1,original
9,0.1509545210337169,0.17418229820999764,0.0645915042429043,0.6572012494201159,0.5191545656496879,0.7173714285714285,exp1,original
10,0.157436009283512,0.16522541246012723,0.08749132480443071,0.5973010342182864,0.5031930956179557,0.6950416666666667,exp1,original
11,0.2559199231841394,0.9697470487189433,0.036951275160108016,0.6591623373608495,0.5528371150729335,0.64397,exp1,original
12,0.16226147714259814,0.2917029929668928,0.11113039695342866,0.5362530763860199,0.5054100018385732,0.62015,exp1,original
13,0.38955688090205437,0.3323957278799712,0.06625263444757822,0.17919864215565456,0.4964560301507538,0.40335,exp1,original
14,0.24599405768277852,0.2666235972143049,0.1373877441978958,0.37134379088313135,0.6798702577957897,0.5828,exp1,original
15,0.23063938927024571,0.2643939092561483,0.07193875905463543,0.4874129430340983,0.521490392889794,0.6399,exp1,original
16,0.2161223542010732,0.22974863921532301,0.17053537870898045,0.4613053669300745,0.4903013420018774,0.62215,exp1,original
17,0.3379236467729106,1.074739888226501,0.04319347951236542,0.5517806732976289,0.5596855332673809,0.6236499999999999,exp1,original
18,0.08944003772712938,0.27793404639130626,0.10515714473630713,0.7476140233530355,0.5013559477845192,0.69855,exp1,original
19,0.2997730687824205,0.39884278924805394,0.1173268492962104,0.33628047177488424,0.4325087939698492,0.48735,exp1,original
20,0.2598730734653466,0.29791422966054915,0.13370259160793072,0.3363059351466958,0.6833206686930091,0.5413,exp1,original
21,0.176091648905847,0.22807411995292165,0.10443619734185502,0.6259816943094126,0.5030830532388131,0.67005,exp1,original
22,0.22145001633106814,0.22752147397796954,0.1717211514334939,0.4536508888996026,0.4931956854291972,0.6186999999999999,exp1,original
23,0.36341977479095705,0.7607792090009831,0.20394700146416955,0.45255122070898,0.4980491854174998,0.38029999999999997,exp1,original
0,0.14,0.22799999999999998,0.29300000000000004,0.63,0.48300000000000004,0.664,exp2,MANILA
1,0.159,0.248,0.20700000000000002,0.539,0.546,0.67,exp2,MANILA
2,0.16,0.247,0.203,0.538,0.548,0.671,exp2,MANILA
3,0.16,0.247,0.203,0.538,0.548,0.671,exp2,MANILA
