,stat_par,eq_odds,zero_one_loss,disp_imp,acc,hmean,experiment,approach
0,0.103,0.15,0.202,0.679,0.5489999999999999,0.731,exp2,MANILA
1,0.103,0.15,0.202,0.679,0.5489999999999999,0.731,exp2,MANILA
2,0.103,0.15,0.202,0.679,0.5489999999999999,0.731,exp2,MANILA
3,0.103,0.15,0.202,0.679,0.5489999999999999,0.731,exp2,MANILA
0,0.0767415254262229,0.17757628250662302,0.2787162991065898,0.6559346855751875,0.557312925170068,0.714,exp2,original
0,0.0896095957009758,0.18315916371462035,0.3094552681723734,0.657524699775314,0.5458126493840779,0.702,exp2,original
0,0.05976257743076389,0.19441112866035462,0.19524695589917912,0.7418971186735396,0.443284611141754,0.699,exp2,original
0,0.009159135983559198,0.19194326183062693,0.2719399058813654,0.7395534497922253,0.5585178035178034,0.739,exp2,original
0,0.23246817516969637,0.22079980184451514,0.17489139131019876,0.4045889767385928,0.535711991401326,0.615,exp2,original
0,0.0710417831501028,0.16723561542050236,0.1543390123247918,0.8089409458347652,0.5266065344361651,0.758,exp2,original
0,0.29412267701714645,0.4327974202202246,0.16078855673974174,0.34432880277036043,0.5124577461176287,0.542,exp2,original
0,0.09131587024180939,0.15019285097300736,0.1557718130654413,0.73898341636847,0.5258702434069726,0.744,exp2,original
0,0.161,0.161,0.215,0.539,0.51,0.669,exp3,MANILA
1,0.163,0.186,0.251,0.539,0.5109999999999999,0.66,exp3,MANILA
2,0.214,0.249,0.221,0.448,0.514,0.62,exp3,MANILA
3,0.334,0.684,0.317,0.082,0.255,0.225,exp3,MANILA
0,0.113,0.171,0.042,0.613,0.6139999999999999,0.753,exp3,MANILA
1,0.092,0.175,0.057,0.575,0.6000000000000001,0.737,exp3,MANILA
2,0.135,0.279,0.052,0.447,0.607,0.668,exp3,MANILA
3,0.163,0.381,0.056,0.318,0.605,0.577,exp3,MANILA
0,0.10498697868877997,0.17374306511315002,0.3206581092083274,0.5739101402021055,0.5430593859165288,0.677,exp3,original
0,0.10927510374703078,0.16004387250283275,0.3366895262641391,0.5487918441599456,0.5464699393270822,0.669,exp3,original
0,0.19654535190579828,0.27328501660023397,0.29450442345179184,0.19720193666860453,0.4345008273579702,0.438,exp3,original
0,0.013268515586151023,0.21834502311532697,0.27939529678350516,0.7295781263430757,0.5455016240730531,0.726,exp3,original
0,0.2667289465265142,0.24067458016377913,0.17281909143406238,0.3114950228896493,0.5330192247674029,0.557,exp3,original
0,0.234150926742766,0.20662657142828392,0.19244323118019074,0.34277714695390904,0.5253826999625583,0.58,exp3,original
0,0.3745459308929748,0.4919686018678309,0.159185278287555,0.2767150252277036,0.5112837461761165,0.484,exp3,original
0,0.11583250279561708,0.13353697778268242,0.16076405158992746,0.6696563838398819,0.5233996507347973,0.727,exp3,original
